Configurations,ROI,STD,SR,ERR
LB:20 HP:1,0.002491823947629701,0.022674911522222597,0.1098934364170543,0
LB:20 HP:3,-0.009573304828144669,0.02571941844423242,-0.37222089017691157,0
LB:20 HP:5,0.0011329012474412536,0.025531351119062816,0.04437294533133346,0
LB:20 HP:7,-0.0023259753219704304,0.026239199405041554,-0.08864505681234777,0
LB:20 HP:9,0.013083009999492523,0.025848983321775657,0.5061324786600467,0
LB:20 HP:11,0.006019768121581004,0.025880937669199026,0.23259466865240924,0
LB:20 HP:13,0.005411578547926954,0.025580802090760475,0.2115484310744721,0
LB:20 HP:15,0.014484044358610282,0.02580532186191566,0.5612812905847266,0
LB:20 HP:17,0.02174984128261026,0.024976250426252313,0.8708209163273442,0
LB:20 HP:19,-0.012027030248548232,0.02593648726688415,-0.4637108381251153,0
LB:40 HP:1,0.005913649732806059,0.024373205713693266,0.2426291314434553,0
LB:40 HP:3,0.008064272493963465,0.025647962001573068,0.31442157055086317,0
LB:40 HP:5,-0.007925313678374235,0.025280158354847544,-0.3134993684426242,0
LB:40 HP:7,-0.00013369474814250992,0.02615493846246555,-0.00511164453070202,0
LB:40 HP:9,0.03336037993166352,0.025441836594130126,1.3112410264972907,0
LB:40 HP:11,0.004998457090213959,0.02585613541804293,0.19331802720703326,0
LB:40 HP:13,0.0020016138903675706,0.02550526653536863,0.07847845414953399,0
LB:40 HP:15,-0.007253718178635182,0.025999062704089224,-0.27899921859468774,0
LB:40 HP:17,0.0157689815498554,0.024253200447969046,0.6501814712530398,0
LB:40 HP:19,-0.013799571259147103,0.026153830107777915,-0.5276309895063223,0
LB:60 HP:1,0.01962900254783495,0.025510046702036625,0.7694616468996055,0
LB:60 HP:3,-0.013404756049468891,0.025530975179886457,-0.5250389362341821,0
LB:60 HP:5,-0.014304436421038291,0.02537383198436621,-0.5637475817547701,0
LB:60 HP:7,0.02818410380110148,0.025973542202661046,1.0851082066971194,0
LB:60 HP:9,0.028368720235494083,0.025553240300306618,1.1101809360417465,0
LB:60 HP:11,0.019132947105120923,0.025818923509753747,0.7410435643412078,0
LB:60 HP:13,0.002660329672801609,0.025606516322517706,0.10389268260056851,0
LB:60 HP:15,0.0017494712050347694,0.025944195036952625,0.06743208654355924,0
LB:60 HP:17,0.00559046764519322,0.024750923613127057,0.22586905169988178,0
LB:60 HP:19,-0.002182521399424542,0.02606722871377588,-0.08372663712698902,0
LB:80 HP:1,0.004319015574579588,0.027880358854359626,0.15491248147633607,0
LB:80 HP:3,0.0023380355477480297,0.026190767092991746,0.08926945665419829,0
LB:80 HP:5,0.014926882819778164,0.025654017949495827,0.5818536047321787,0
LB:80 HP:7,0.012970834957470645,0.024947068683213308,0.5199342304372064,0
LB:80 HP:9,0.002699838162261159,0.025960645387354934,0.10399734374771022,0
LB:80 HP:11,0.020936315989480425,0.02581482928523516,0.8110189596122951,0
LB:80 HP:13,0.009873658560923149,0.025660993955159635,0.3847730363904263,0
LB:80 HP:15,-0.021044704717693596,0.02573374168819969,-0.8177864289103256,0
LB:80 HP:17,0.006848516269262861,0.024991429741689428,0.2740345926603197,0
LB:80 HP:19,-0.0021976652631666704,0.026456282492851917,-0.08306780303545844,0
LB:100 HP:1,0.012641975686604745,0.028209565388340557,0.4481450002001756,0
LB:100 HP:3,0.031457012418787844,0.025814570096427833,1.2185758779357243,0
LB:100 HP:5,0.03382613815136648,0.02603167007506005,1.2994225131861215,0
LB:100 HP:7,-0.004718071103314125,0.025186690353643487,-0.18732398092278976,0
LB:100 HP:9,-0.0006334370380206567,0.02617257340017295,-0.02420232158051645,0
LB:100 HP:11,0.012167123679908132,0.02595229614140998,0.46882648123354437,0
LB:100 HP:13,0.017049232476771925,0.02564219549516852,0.6648897314578358,0
LB:100 HP:15,-0.0028790204536869313,0.025612605490849205,-0.11240638734374521,0
LB:100 HP:17,0.022275365689353288,0.02505027916418836,0.8892262454782516,0
LB:100 HP:19,-0.0057958081997591115,0.0263609039515554,-0.21986378807078563,0
LB:120 HP:1,-0.012744279623179144,0.02779449325521801,-0.4585181498420228,0
LB:120 HP:3,0.00843029534979256,0.026345792640918866,0.31998640028385705,0
LB:120 HP:5,0.017273235912666607,0.02626801988929228,0.6575766268437978,0
LB:120 HP:7,0.010625552094345458,0.02530224973429335,0.4199449537463121,0
LB:120 HP:9,-0.011488636793061224,0.026372971958625365,-0.43562162091875384,0
LB:120 HP:11,0.004002504152147646,0.02580153803750886,0.1551265721574049,0
LB:120 HP:13,0.007255032582986098,0.025773260166321164,0.2814945620448323,0
LB:120 HP:15,0.013363235351387948,0.025433276472448228,0.5254232723756331,0
LB:120 HP:17,0.013087001149080901,0.02531443500190799,0.5169778092260211,0
LB:120 HP:19,-0.0089568623622156,0.02642637530120188,-0.33893647010334554,0
LB:140 HP:1,0.0006670155383519116,0.025136964473088306,0.026535246094094616,0
LB:140 HP:3,0.02142085695829299,0.025393705920248075,0.8435498554471613,0
LB:140 HP:5,0.008415155933563678,0.02623714376597312,0.32073445221873853,0
LB:140 HP:7,-0.0011372593571612466,0.025939744634081628,-0.04384234976881877,0
LB:140 HP:9,-0.009785392141186344,0.025509211319161618,-0.38360230031243275,0
LB:140 HP:11,0.010331697872967727,0.025699967409185474,0.40201210018947553,0
LB:140 HP:13,0.016536916331758134,0.026240807252353105,0.6301984604637195,0
LB:140 HP:15,-0.013936140136887265,0.02561469069351727,-0.5440682576898854,0
LB:140 HP:17,-0.0014216830843704065,0.025249047927245118,-0.056306403650029584,0
LB:140 HP:19,0.007593448568464778,0.026668579672150444,0.2847338951610719,0
LB:160 HP:1,0.02208943052350687,0.021858705065659324,1.0105553122728217,0
LB:160 HP:3,0.007615532012436033,0.025711409457855716,0.29619270872407294,0
LB:160 HP:5,0.004926568841144396,0.02513558999468331,0.19599972955424821,0
LB:160 HP:7,0.00045119912428059905,0.026512407066234187,0.017018414176932267,0
LB:160 HP:9,-0.02340223507859307,0.025994456097944343,-0.9002779281249794,0
LB:160 HP:11,0.013261062840323579,0.026150364949694544,0.5071081365722384,0
LB:160 HP:13,0.006291518651859507,0.026285000465692647,0.2393577531060438,0
LB:160 HP:15,-0.005743578454383114,0.025801147637529026,-0.22260941780856286,0
LB:160 HP:17,0.012010243812421662,0.025686261565459195,0.46757461305977144,0
LB:160 HP:19,0.03165806471341259,0.026662793876603717,1.1873498651314318,0
LB:180 HP:1,-8.33070221246679e-05,0.02304517916152683,-0.00361494356545278,0
LB:180 HP:3,0.009909290878355126,0.025604149843475237,0.3870189379039403,0
LB:180 HP:5,-0.019462151644436765,0.025422097129946787,-0.7655604313426484,0
LB:180 HP:7,0.0005348095240804707,0.0261035850604685,0.020487972163271587,0
LB:180 HP:9,-0.012924611011822518,0.025601472894663385,-0.5048385717884476,0
LB:180 HP:11,-0.0021876681696029188,0.025992295977501224,-0.0841660225590133,0
LB:180 HP:13,0.012367473579660615,0.026659341338526557,0.46390769459063297,0
LB:180 HP:15,-0.006778722371385437,0.025990496725462997,-0.26081542199785257,0
LB:180 HP:17,0.001366135055669071,0.025884272415233677,0.052778576648925206,0
LB:180 HP:19,0.021103150242297586,0.02635407737410962,0.8007546590505737,0
LB:200 HP:1,1.2956197374291989e-05,0.024672053639865476,0.0005251365599074886,0
LB:200 HP:3,-0.017822811062950694,0.025472460614515368,-0.699689414881044,0
LB:200 HP:5,0.013371631997138422,0.02551924902141102,0.5239821903034619,0
LB:200 HP:7,0.003948845300410175,0.026098003369085652,0.15130832978157147,0
LB:200 HP:9,0.008285049470858619,0.025648818967366045,0.323018751132362,0
LB:200 HP:11,-0.011273508950470967,0.02600096279636553,-0.43358044233834303,0
LB:200 HP:13,0.007494872944436182,0.02548619752920937,0.2940757614330821,0
LB:200 HP:15,0.01475305700914653,0.026083809135324838,0.5656020918036365,0
LB:200 HP:17,0.004680087319411719,0.026371256934790477,0.1774692549158504,0
LB:200 HP:19,0.014349311578304436,0.026059572384749805,0.5506349592559595,0
LB:220 HP:1,0.014892313736669216,0.02655868643203039,0.5607323153869818,0
LB:220 HP:3,0.0006166749006450978,0.025929461821505437,0.023782788277296157,0
LB:220 HP:5,0.00850713107211587,0.025663880615557706,0.3314826467420036,0
LB:220 HP:7,0.024384765349072746,0.026065386251628745,0.9355228851653413,0
LB:220 HP:9,0.022130447898089045,0.025273809781352765,0.8756276987736562,0
LB:220 HP:11,-0.013996279162103664,0.02503759939471617,-0.5590104283343307,0
LB:220 HP:13,-0.004402844483570867,0.025677944423231847,-0.17146405533876927,0
LB:220 HP:15,0.016809239219319094,0.02625819453594462,0.6401521321775977,0
LB:220 HP:17,-0.00445581173792331,0.02680307660292111,-0.1662425475976029,0
LB:220 HP:19,0.017830966654861058,0.02586989674177589,0.6892554242811028,0
LB:240 HP:1,0.006088385188626644,0.028230551833935517,0.21566653122621177,0
LB:240 HP:3,0.037700475971808256,0.025638721315523597,1.4704507103863083,0
LB:240 HP:5,0.026688001505670966,0.02559202993005247,1.0428247223301153,0
LB:240 HP:7,0.01379064763412563,0.024977575814125866,0.552121140047804,0
LB:240 HP:9,0.04106411591758041,0.025118924221996405,1.634788001057026,0
LB:240 HP:11,-0.022407543667112284,0.025425567491818048,-0.8812996474640354,0
LB:240 HP:13,0.010671307410924591,0.025474588127358967,0.4189000959534226,0
LB:240 HP:15,0.020548360216693595,0.02588673005428893,0.793779676830567,0
LB:240 HP:17,-0.005658498150338476,0.026641877138247734,-0.2123911209775454,0
LB:240 HP:19,5.010746703071334e-05,0.024636882332930436,0.0020338396049299676,0
