,start_hour,end_hour,rebalance_hour,cov,stdev
723,1,8,3,shrinkage,0.0791783351753439
418,0,18,10,shrinkage,0.079183804961419
4918,10,20,22,shrinkage,0.0791864986496357
392,0,17,8,shrinkage,0.0791882870374666
4334,9,10,14,shrinkage,0.07919232917933
6907,19,23,19,shrinkage,0.0792041707343265
419,0,18,11,shrinkage,0.079204944748743
3139,6,8,19,shrinkage,0.0792056748262089
298,0,13,10,shrinkage,0.079207612273268
394,0,17,10,shrinkage,0.079208113017293
242,0,11,2,shrinkage,0.0792116777631795
4333,9,10,13,shrinkage,0.0792123014070519
295,0,13,7,shrinkage,0.0792141932106708
6906,19,23,18,shrinkage,0.0792210528536745
2905,5,17,1,shrinkage,0.0792294220474554
212,0,9,20,shrinkage,0.0792325241055948
4332,9,10,12,shrinkage,0.0792339127380133
397,0,17,13,shrinkage,0.0792351764773882
399,0,17,15,shrinkage,0.0792389194167618
5011,10,24,19,shrinkage,0.0792409381526588
4917,10,20,21,shrinkage,0.0792413115105093
417,0,18,9,shrinkage,0.0792441249681961
873,1,14,9,shrinkage,0.0792493233739253
2848,5,14,16,shrinkage,0.079251180278835
4331,9,10,11,shrinkage,0.079262322693922
244,0,11,4,shrinkage,0.0792627744899056
4938,10,21,18,shrinkage,0.0792699071330436
5147,11,17,11,shrinkage,0.079275087368948
872,1,14,8,shrinkage,0.0792768288081598
5229,11,20,21,shrinkage,0.0792769828920262
420,0,18,12,shrinkage,0.0792821142715251
297,0,13,9,shrinkage,0.0792838355289944
4074,8,14,18,shrinkage,0.079284556877637
5275,11,22,19,shrinkage,0.0792928720727497
4939,10,21,19,shrinkage,0.0792949664176032
3959,8,9,23,shrinkage,0.0792957646878816
1036,1,21,4,shrinkage,0.0793001947674159
874,1,14,10,shrinkage,0.0793040295210234
123,0,6,3,shrinkage,0.0793093762590065
5610,12,24,18,shrinkage,0.079313146866175
236,0,10,20,shrinkage,0.0793194367873093
239,0,10,23,shrinkage,0.0793203167748529
5228,11,20,20,shrinkage,0.0793212716215493
5541,12,21,21,shrinkage,0.0793248073440845
790,1,10,22,shrinkage,0.079335857071628
7078,21,23,22,shrinkage,0.0793385100731732
7079,21,23,23,shrinkage,0.0793395185433791
3162,6,9,18,shrinkage,0.0793402429992399
966,1,18,6,shrinkage,0.0793453167560894
772,1,10,4,shrinkage,0.0793509678362129
876,1,14,12,shrinkage,0.0793509967783269
788,1,10,20,shrinkage,0.0793516285391249
3280,6,14,16,shrinkage,0.0793517328941441
5562,12,22,18,shrinkage,0.0793545266503442
875,1,14,11,shrinkage,0.0793569495822716
5146,11,17,10,shrinkage,0.0793636250648993
6933,19,24,21,shrinkage,0.079367329717746
6979,20,22,19,shrinkage,0.0793730485383428
3688,7,14,16,shrinkage,0.079373148011295
5207,11,19,23,shrinkage,0.079378964629454
4072,8,14,16,shrinkage,0.0793795886578388
1030,1,20,22,shrinkage,0.0793816237681179
942,1,17,6,shrinkage,0.079388177216171
234,0,10,18,shrinkage,0.0793945998318784
5323,11,24,19,shrinkage,0.0793947718514776
238,0,10,22,shrinkage,0.0793954375550713
941,1,17,5,shrinkage,0.0793978251299448
2488,4,18,16,shrinkage,0.0794005042989254
5542,12,21,22,shrinkage,0.0794011832717328
973,1,18,13,shrinkage,0.0794044447175842
877,1,14,13,shrinkage,0.0794091699082098
825,1,12,9,shrinkage,0.0794094097361898
3163,6,9,19,shrinkage,0.0794129302408171
4335,9,10,15,shrinkage,0.079416453006331
5543,12,21,23,shrinkage,0.0794210997656086
5298,11,23,18,shrinkage,0.0794283906470229
969,1,18,9,shrinkage,0.079434776997862
1152,2,4,0,shrinkage,0.0794384719810281
878,1,14,14,shrinkage,0.0794393428593246
2464,4,17,16,shrinkage,0.0794394188248937
2800,5,12,16,shrinkage,0.079445133128108
5717,13,18,5,shrinkage,0.0794509004998672
5206,11,19,22,shrinkage,0.079453148923954
7076,21,23,20,shrinkage,0.0794550527470562
5694,13,17,6,shrinkage,0.0794576715561768
4893,10,19,21,shrinkage,0.0794588846416709
7077,21,23,21,shrinkage,0.0794646407315202
5693,13,17,5,shrinkage,0.0794674935044749
944,1,17,8,shrinkage,0.0794709800465895
746,1,9,2,shrinkage,0.0794740799780195
460,0,20,4,shrinkage,0.0794785502330855
6935,19,24,23,shrinkage,0.0794854804035379
965,1,18,5,shrinkage,0.0794869732114041
943,1,17,7,shrinkage,0.079492276660093
5230,11,20,22,shrinkage,0.0794927667624847
786,1,10,18,shrinkage,0.0794927846508502
4892,10,19,20,shrinkage,0.0794974299931592
2182,4,5,22,shrinkage,0.0794976922621965
301,0,13,13,shrinkage,0.0795006141905574
5205,11,19,21,shrinkage,0.0795015270235402
235,0,10,19,shrinkage,0.079506135181929
5250,11,21,18,shrinkage,0.0795071575337441
789,1,10,21,shrinkage,0.0795247200217287
6932,19,24,20,shrinkage,0.0795255766070757
5719,13,18,7,shrinkage,0.079526242511321
2181,4,5,21,shrinkage,0.0795285620547693
5720,13,18,8,shrinkage,0.0795289745591351
5539,12,21,19,shrinkage,0.0795314757623887
967,1,18,7,shrinkage,0.0795323590331069
5697,13,17,9,shrinkage,0.0795400308355085
2091,3,22,3,shrinkage,0.0795412552920435
6834,19,20,18,shrinkage,0.0795490850060974
5204,11,19,20,shrinkage,0.0795506321474595
791,1,10,23,shrinkage,0.0795522897945458
744,1,9,0,shrinkage,0.0795647137148698
879,1,14,15,shrinkage,0.0795657615264748
6144,15,17,0,shrinkage,0.0795731833689057
5456,12,18,8,shrinkage,0.0795749155623436
1456,2,16,16,shrinkage,0.0795755286978214
3570,7,9,18,shrinkage,0.0795804011812547
6168,15,18,0,shrinkage,0.0795805538943306
7031,20,24,23,shrinkage,0.0795809605949531
5701,13,17,13,shrinkage,0.0795815690502778
1153,2,4,1,shrinkage,0.0795841223539274
299,0,13,11,shrinkage,0.0795851229093813
748,1,9,4,shrinkage,0.0795863750199149
5117,11,16,5,shrinkage,0.0795925060109497
6147,15,17,3,shrinkage,0.0795947870668666
5724,13,18,12,shrinkage,0.079596532736418
6146,15,17,2,shrinkage,0.0795981675258441
5726,13,18,14,shrinkage,0.0795990787712642
7051,21,22,19,shrinkage,0.0796004576094641
6448,16,21,16,shrinkage,0.0796013386738212
2180,4,5,20,shrinkage,0.0796026181019967
2183,4,5,23,shrinkage,0.0796051502136224
7029,20,24,21,shrinkage,0.0796061638150242
5464,12,18,16,shrinkage,0.0796072623748291
5703,13,17,15,shrinkage,0.0796108228458291
5563,12,22,19,shrinkage,0.0796165384830991
303,0,13,15,shrinkage,0.0796170460339909
747,1,9,3,shrinkage,0.0796174858707344
237,0,10,21,shrinkage,0.0796183047905841
6172,15,18,4,shrinkage,0.0796188234008661
1774,3,8,22,shrinkage,0.0796204823142969
5727,13,18,15,shrinkage,0.0796235174061119
1797,3,9,21,shrinkage,0.0796254126735765
1773,3,8,21,shrinkage,0.0796318341957654
5725,13,18,13,shrinkage,0.0796320354489333
3571,7,9,19,shrinkage,0.0796353468639198
968,1,18,8,shrinkage,0.0796375223020047
947,1,17,11,shrinkage,0.0796391467338429
4744,10,13,16,shrinkage,0.079640612622129
6169,15,18,1,shrinkage,0.079644049385986
1154,2,4,2,shrinkage,0.0796469719765213
5702,13,17,14,shrinkage,0.0796470845590973
7002,20,23,18,shrinkage,0.079649983620785
2728,5,9,16,shrinkage,0.0796550475800715
975,1,18,15,shrinkage,0.0796577920227014
951,1,17,15,shrinkage,0.0796577920227014
1864,3,12,16,shrinkage,0.0796598731000157
1799,3,9,23,shrinkage,0.0796606247243269
5518,12,20,22,shrinkage,0.079660900137991
421,0,18,13,shrinkage,0.0796647676594586
4504,9,17,16,shrinkage,0.0796692635033061
1156,2,4,4,shrinkage,0.0796711488200547
5251,11,21,19,shrinkage,0.0796714068206176
7028,20,24,20,shrinkage,0.0796732285710075
1796,3,9,20,shrinkage,0.079675394218446
6148,15,17,4,shrinkage,0.0796810297387821
5723,13,18,11,shrinkage,0.0796851901530542
972,1,18,12,shrinkage,0.0796852497886798
5540,12,21,20,shrinkage,0.0796881986537166
6145,15,17,1,shrinkage,0.0796984872490045
1634,2,24,2,shrinkage,0.079698520452956
6171,15,18,3,shrinkage,0.0796992879653243
5227,11,20,19,shrinkage,0.0796994594517611
787,1,10,19,shrinkage,0.079700289997303
5628,13,14,12,shrinkage,0.0797075214667684
7050,21,22,18,shrinkage,0.0797129116470664
4528,9,18,16,shrinkage,0.0797143590144003
7003,20,23,19,shrinkage,0.0797320525041816
946,1,17,10,shrinkage,0.079733810733171
4637,9,23,5,shrinkage,0.0797376815567282
6835,19,20,19,shrinkage,0.0797435974591273
7030,20,24,22,shrinkage,0.0797509327248028
5721,13,18,9,shrinkage,0.0797580880835135
341,0,15,5,shrinkage,0.0797607194474435
5322,11,24,18,shrinkage,0.0797763612785751
4891,10,19,19,shrinkage,0.0797789048875376
970,1,18,10,shrinkage,0.0797790813399938
350,0,15,14,shrinkage,0.0797903567613094
974,1,18,14,shrinkage,0.0797946167806605
5699,13,17,11,shrinkage,0.0797984410081518
368,0,16,8,shrinkage,0.0798067876316856
5696,13,17,8,shrinkage,0.0798076843854333
6170,15,18,2,shrinkage,0.0798124678696413
144,0,7,0,shrinkage,0.0798131189174448
365,0,16,5,shrinkage,0.0798138792421026
4573,9,20,13,shrinkage,0.0798149537426722
1960,3,16,16,shrinkage,0.0798187741129097
1772,3,8,20,shrinkage,0.0798189992462069
4360,9,11,16,shrinkage,0.0798279102595796
4596,9,21,12,shrinkage,0.0798326994252049
745,1,9,1,shrinkage,0.0798375970399981
1775,3,8,23,shrinkage,0.0798407867931555
5517,12,20,21,shrinkage,0.0798414536964879
342,0,15,6,shrinkage,0.0798550965637091
4915,10,20,19,shrinkage,0.0798563697474055
1750,3,7,22,shrinkage,0.0798721835865664
5519,12,20,23,shrinkage,0.0798722882687231
1024,1,20,16,shrinkage,0.0798942353699661
3116,6,7,20,shrinkage,0.0798956361661922
1751,3,7,23,shrinkage,0.0798972287399051
300,0,13,12,shrinkage,0.0798974307744227
3160,6,9,16,shrinkage,0.0799060641038812
3599,7,10,23,shrinkage,0.0799060913164113
1294,2,9,22,shrinkage,0.0799069347051601
5108,11,15,20,shrinkage,0.0799093462067175
948,1,17,12,shrinkage,0.0799125119872689
1748,3,7,20,shrinkage,0.0799133078102053
555,0,24,3,shrinkage,0.0799141025941818
3232,6,12,16,shrinkage,0.0799189045857983
5700,13,17,12,shrinkage,0.0799215266650945
4570,9,20,10,shrinkage,0.079922351231384
5695,13,17,7,shrinkage,0.0799228659852918
3598,7,10,22,shrinkage,0.079925065895563
5698,13,17,10,shrinkage,0.0799250668307992
1798,3,9,22,shrinkage,0.0799279868860339
950,1,17,14,shrinkage,0.0799300918526723
367,0,16,7,shrinkage,0.0799315694162572
3597,7,10,21,shrinkage,0.0799360321696229
846,1,13,6,shrinkage,0.0799365992936009
971,1,18,11,shrinkage,0.0799419495322167
3117,6,7,21,shrinkage,0.0799456009797554
5368,12,14,16,shrinkage,0.0799471060141401
5516,12,20,20,shrinkage,0.0799471244692328
5722,13,18,10,shrinkage,0.0799490329760702
19,0,1,19,shrinkage,0.0799503041435879
3955,8,9,19,shrinkage,0.0799512807733686
18,0,1,18,shrinkage,0.0799533126552554
343,0,15,7,shrinkage,0.0799557847909889
1155,2,4,3,shrinkage,0.0799586857718573
3191,6,10,23,shrinkage,0.0799632261235693
1292,2,9,20,shrinkage,0.0799692467551444
2320,4,11,16,shrinkage,0.0799759482198934
349,0,15,13,shrinkage,0.0799796191921065
348,0,15,12,shrinkage,0.0799809393674643
445,0,19,13,shrinkage,0.0799884934431403
845,1,13,5,shrinkage,0.0799901931989213
3118,6,7,22,shrinkage,0.0799946900725025
4225,8,21,1,shrinkage,0.0799953799398962
3175,6,10,7,shrinkage,0.0799995502098389
370,0,16,10,shrinkage,0.0800072712473479
4914,10,20,18,shrinkage,0.0800246933735538
4890,10,19,18,shrinkage,0.080050484771979
3964,8,10,4,shrinkage,0.0800511424182073
371,0,16,11,shrinkage,0.0800539967253205
375,0,16,15,shrinkage,0.0800553286432306
422,0,18,14,shrinkage,0.0800573532353571
2704,5,8,16,shrinkage,0.0800621489792031
366,0,16,6,shrinkage,0.0800680927557557
1271,2,8,23,shrinkage,0.0800687655183358
5538,12,21,18,shrinkage,0.0800688461316565
796,1,11,4,shrinkage,0.0800861246549459
5718,13,18,6,shrinkage,0.0800862410630858
441,0,19,9,shrinkage,0.0800971773458647
849,1,13,9,shrinkage,0.0800983350342842
792,1,11,0,shrinkage,0.0800995497757666
443,0,19,11,shrinkage,0.0801003348215005
346,0,15,10,shrinkage,0.0801004332863212
3173,6,10,5,shrinkage,0.080103228109406
372,0,16,12,shrinkage,0.0801059679891245
474,0,20,18,shrinkage,0.0801062248425984
1295,2,9,23,shrinkage,0.0801063842196955
3954,8,9,18,shrinkage,0.0801137009811599
847,1,13,7,shrinkage,0.0801139936118356
373,0,16,13,shrinkage,0.0801214838636913
345,0,15,9,shrinkage,0.0801269565909811
850,1,13,10,shrinkage,0.0801307073720174
1726,3,6,22,shrinkage,0.0801331799119478
369,0,16,9,shrinkage,0.0801332895337234
3963,8,10,3,shrinkage,0.0801392827572244
3962,8,10,2,shrinkage,0.0801443751557308
5152,11,17,16,shrinkage,0.0801459331050789
1432,2,15,16,shrinkage,0.080147442215785
3961,8,10,1,shrinkage,0.0801526965538334
3189,6,10,21,shrinkage,0.0801547035345446
3596,7,10,20,shrinkage,0.080159811454265
5495,12,19,23,shrinkage,0.0801632277542665
794,1,11,2,shrinkage,0.080167941746592
5492,12,19,20,shrinkage,0.0801682359240684
3188,6,10,20,shrinkage,0.0801767687707666
793,1,11,1,shrinkage,0.0801790578640367
848,1,13,8,shrinkage,0.0801817978521523
5202,11,19,18,shrinkage,0.0801826356407305
795,1,11,3,shrinkage,0.0801936395563741
1384,2,13,16,shrinkage,0.0801952412240769
1270,2,8,22,shrinkage,0.080201059589885
852,1,13,12,shrinkage,0.0802016211438403
3583,7,10,7,shrinkage,0.0802054788714282
1269,2,8,21,shrinkage,0.0802092720502114
949,1,17,13,shrinkage,0.0802108395969008
1749,3,7,21,shrinkage,0.0802169214053229
5226,11,20,18,shrinkage,0.0802184266553737
1936,3,15,16,shrinkage,0.0802201357027664
351,0,15,15,shrinkage,0.0802213845513219
1991,3,17,23,shrinkage,0.0802239152323828
3582,7,10,6,shrinkage,0.0802249492628318
886,1,14,22,shrinkage,0.0802391953518982
3177,6,10,9,shrinkage,0.0802461957836449
3176,6,10,8,shrinkage,0.0802529573001603
3115,6,7,19,shrinkage,0.0802537259494894
1268,2,8,20,shrinkage,0.0802593193654558
496,0,21,16,shrinkage,0.0802626081052586
446,0,19,14,shrinkage,0.0802670023179625
444,0,19,12,shrinkage,0.0802687560314703
895,1,15,7,shrinkage,0.080289994473211
1528,2,19,16,shrinkage,0.0802976912652243
374,0,16,14,shrinkage,0.0803011076871355
3114,6,7,18,shrinkage,0.0803024990886554
5515,12,20,19,shrinkage,0.0803134414316906
5203,11,19,19,shrinkage,0.0803193560098687
1770,3,8,18,shrinkage,0.0803291304382546
1771,3,8,19,shrinkage,0.0803355440121219
1725,3,6,21,shrinkage,0.0803355466564242
3190,6,10,22,shrinkage,0.0803371497859093
1794,3,9,18,shrinkage,0.0803381522889054
4336,9,10,16,shrinkage,0.0803382145902093
3584,7,10,8,shrinkage,0.0803421265675488
3174,6,10,6,shrinkage,0.0803425040587663
851,1,13,11,shrinkage,0.080342759430582
3178,6,10,10,shrinkage,0.0803434374325771
442,0,19,10,shrinkage,0.0803434688270195
266,0,12,2,shrinkage,0.0803460208900766
853,1,13,13,shrinkage,0.0803460477747781
854,1,13,14,shrinkage,0.0803518093417784
918,1,16,6,shrinkage,0.0803574357494529
1074,1,22,18,shrinkage,0.080359288904298
6930,19,24,18,shrinkage,0.0803605096901076
1823,3,10,23,shrinkage,0.0803654034383001
919,1,16,7,shrinkage,0.080365515304001
1293,2,9,21,shrinkage,0.0803687374940845
1888,3,13,16,shrinkage,0.0803690394204366
1746,3,7,18,shrinkage,0.0803692677918338
1795,3,9,19,shrinkage,0.0803754249448312
5493,12,19,21,shrinkage,0.0803766274759684
894,1,15,6,shrinkage,0.0803769667232759
437,0,19,5,shrinkage,0.0803770322587593
3585,7,10,9,shrinkage,0.0803869416482107
439,0,19,7,shrinkage,0.0803918006330861
2741,5,10,5,shrinkage,0.0803929455240092
4997,10,24,5,shrinkage,0.080393376249553
920,1,16,8,shrinkage,0.0803969790013372
6931,19,24,19,shrinkage,0.0803971050494586
3594,7,10,18,shrinkage,0.0804051777569312
1747,3,7,19,shrinkage,0.0804070333745004
267,0,12,3,shrinkage,0.0804084249557238
380,0,16,20,shrinkage,0.0804104101055096
3112,6,7,16,shrinkage,0.080412651142205
438,0,19,6,shrinkage,0.080417310990092
1822,3,10,22,shrinkage,0.0804182854049404
3581,7,10,5,shrinkage,0.080427900252915
5514,12,20,18,shrinkage,0.0804291674732961
498,0,21,18,shrinkage,0.0804327485604865
2392,4,14,16,shrinkage,0.0804353160886318
2744,5,10,8,shrinkage,0.0804371173572424
2742,5,10,6,shrinkage,0.0804629649042157
1820,3,10,20,shrinkage,0.0804670099293935
440,0,19,8,shrinkage,0.080468984084535
2745,5,10,9,shrinkage,0.0804754305504066
3179,6,10,11,shrinkage,0.0804757619189846
3180,6,10,12,shrinkage,0.080479367861598
1219,2,6,19,shrinkage,0.0804904978853834
347,0,15,11,shrinkage,0.0804953281187562
2902,5,16,22,shrinkage,0.0804956702777399
896,1,15,8,shrinkage,0.0805045874267502
2032,3,19,16,shrinkage,0.0805057762887084
855,1,13,15,shrinkage,0.0805179077354457
1724,3,6,20,shrinkage,0.0805222903111726
3640,7,12,16,shrinkage,0.0805255542772311
344,0,15,8,shrinkage,0.0805301437845138
5491,12,19,19,shrinkage,0.0805312409018612
4024,8,12,16,shrinkage,0.0805312444304457
1246,2,7,22,shrinkage,0.0805330485992455
2445,4,16,21,shrinkage,0.0805347224235679
4825,10,17,1,shrinkage,0.0805445984753642
922,1,16,10,shrinkage,0.0805447404902526
3182,6,10,14,shrinkage,0.0805498583696347
4840,10,17,16,shrinkage,0.0805506237642238
925,1,16,13,shrinkage,0.080550958301583
917,1,16,5,shrinkage,0.0805541342715729
893,1,15,5,shrinkage,0.0805548741177128
6173,15,18,5,shrinkage,0.080556184193746
3136,6,8,16,shrinkage,0.0805564188699033
1247,2,7,23,shrinkage,0.0805571061725714
924,1,16,12,shrinkage,0.0805573693377866
3595,7,10,19,shrinkage,0.0805611992637859
4949,10,22,5,shrinkage,0.0805616489222853
268,0,12,4,shrinkage,0.0805623060410508
7074,21,23,18,shrinkage,0.0805625849675917
7027,20,24,19,shrinkage,0.0805643596875926
2896,5,16,16,shrinkage,0.0805664699316149
1244,2,7,20,shrinkage,0.0805676327564464
897,1,15,9,shrinkage,0.0805695040065065
1722,3,6,18,shrinkage,0.0805732897434477
1552,2,20,16,shrinkage,0.0805734771397906
1821,3,10,21,shrinkage,0.0805735692756798
1267,2,8,19,shrinkage,0.0805756970342207
4864,10,18,16,shrinkage,0.0805764009339244
3588,7,10,12,shrinkage,0.080577575562152
5335,12,13,7,shrinkage,0.0805859942641143
3183,6,10,15,shrinkage,0.0805861047629632
1805,3,10,5,shrinkage,0.0805924360016307
6149,15,17,5,shrinkage,0.0806010024657437
1317,2,10,21,shrinkage,0.0806017703964633
5494,12,19,22,shrinkage,0.0806024263537359
7026,20,24,18,shrinkage,0.0806031805617298
3960,8,10,0,shrinkage,0.0806051566366415
3119,6,7,23,shrinkage,0.0806110928204595
2747,5,10,11,shrinkage,0.0806170265043557
3186,6,10,18,shrinkage,0.0806183606857124
1806,3,10,6,shrinkage,0.0806228448472094
1319,2,10,23,shrinkage,0.0806244073386184
2056,3,20,16,shrinkage,0.0806285185571243
1290,2,9,18,shrinkage,0.0806287721956205
954,1,17,18,shrinkage,0.0806362429775745
264,0,12,0,shrinkage,0.0806363421478287
4636,9,23,4,shrinkage,0.0806446503381019
3187,6,10,19,shrinkage,0.0806469833943341
5943,14,17,15,shrinkage,0.0806483597067994
2748,5,10,12,shrinkage,0.0806497908677837
5944,14,17,16,shrinkage,0.0806498248032805
1807,3,10,7,shrinkage,0.0806503639245154
923,1,16,11,shrinkage,0.0806519753338833
921,1,16,9,shrinkage,0.080652741376908
2743,5,10,7,shrinkage,0.0806549297664215
2344,4,12,16,shrinkage,0.0806571135943026
2746,5,10,10,shrinkage,0.0806579776423425
3589,7,10,13,shrinkage,0.0806632323315513
4771,10,14,19,shrinkage,0.0806637374456655
3181,6,10,13,shrinkage,0.080664128947071
900,1,15,12,shrinkage,0.0806650576638744
3590,7,10,14,shrinkage,0.0806672447367461
5490,12,19,18,shrinkage,0.080668972655676
116,0,5,20,shrinkage,0.0806720020258081
4884,10,19,12,shrinkage,0.0806728763603974
2900,5,16,20,shrinkage,0.0806741371959515
5083,11,14,19,shrinkage,0.0806807176665658
1576,2,21,16,shrinkage,0.0806899845910412
7075,21,23,19,shrinkage,0.0806988657739884
2749,5,10,13,shrinkage,0.0807056154197485
189,0,8,21,shrinkage,0.0807075003007808
1316,2,10,20,shrinkage,0.0807097597251136
989,1,19,5,shrinkage,0.080716938643932
3586,7,10,10,shrinkage,0.080721159806399
999,1,19,15,shrinkage,0.0807231248058715
5968,14,18,16,shrinkage,0.0807235878136432
3736,7,16,16,shrinkage,0.0807251303585766
1245,2,7,21,shrinkage,0.0807312054924853
1243,2,7,19,shrinkage,0.0807318731653779
1303,2,10,7,shrinkage,0.08073210791088
3400,6,19,16,shrinkage,0.0807366211945581
4432,9,14,16,shrinkage,0.0807367612702829
20,0,1,20,shrinkage,0.0807391100003672
1304,2,10,8,shrinkage,0.0807412420402506
2992,5,20,16,shrinkage,0.0807529651385834
3328,6,16,16,shrinkage,0.0807605420934656
990,1,19,6,shrinkage,0.0807620976207141
902,1,15,14,shrinkage,0.0807629751879413
21,0,1,21,shrinkage,0.0807659027744882
2440,4,16,16,shrinkage,0.0807669697944877
994,1,19,10,shrinkage,0.0807682404914582
927,1,16,15,shrinkage,0.0807779963238315
926,1,16,14,shrinkage,0.0807816395247743
1291,2,9,19,shrinkage,0.0807873203665389
1302,2,10,6,shrinkage,0.0807957553532238
997,1,19,13,shrinkage,0.0807976997319467
1808,3,10,8,shrinkage,0.080801294469862
5341,12,13,13,shrinkage,0.0808042823967991
992,1,19,8,shrinkage,0.0808047435965262
5340,12,13,12,shrinkage,0.0808062833613358
899,1,15,11,shrinkage,0.0808065225743756
603,1,3,3,shrinkage,0.0808079567089009
23,0,1,23,shrinkage,0.0808091016382734
898,1,15,10,shrinkage,0.0808096159725185
5680,13,16,16,shrinkage,0.0808168762875674
2751,5,10,15,shrinkage,0.0808177740757543
1723,3,6,19,shrinkage,0.0808273381272861
1986,3,17,18,shrinkage,0.080838447507453
22,0,1,22,shrinkage,0.0808407818202224
1818,3,10,18,shrinkage,0.0808412813286819
2750,5,10,14,shrinkage,0.0808417138065476
5176,11,18,16,shrinkage,0.0808419407093552
1810,3,10,10,shrinkage,0.0808449231145097
1819,3,10,19,shrinkage,0.0808460501906358
1308,2,10,12,shrinkage,0.0808530648514849
996,1,19,12,shrinkage,0.0808550859851867
5618,13,14,2,shrinkage,0.080862755609276
1710,3,6,6,shrinkage,0.0808669713842422
1144,2,3,16,shrinkage,0.0808703542851519
3587,7,10,11,shrinkage,0.080883294240902
991,1,19,7,shrinkage,0.0808841779122429
1318,2,10,22,shrinkage,0.0808885657872544
1222,2,6,22,shrinkage,0.0808971488677742
2272,4,9,16,shrinkage,0.0808995562873722
901,1,15,13,shrinkage,0.0809130649509069
3952,8,9,16,shrinkage,0.0809156625182954
1305,2,10,9,shrinkage,0.0809161602304895
4909,10,20,13,shrinkage,0.0809186247881484
1223,2,6,23,shrinkage,0.0809200054482248
995,1,19,11,shrinkage,0.0809215827749858
1220,2,6,20,shrinkage,0.0809293872823511
1733,3,7,5,shrinkage,0.0809299654855305
3591,7,10,15,shrinkage,0.080938550389853
1221,2,6,21,shrinkage,0.0809441888161978
4933,10,21,13,shrinkage,0.0809505152487115
5063,11,13,23,shrinkage,0.0809550128328564
313,0,14,1,shrinkage,0.0809551735145084
3424,6,20,16,shrinkage,0.0809552988956187
1301,2,10,5,shrinkage,0.0809627674369922
4120,8,16,16,shrinkage,0.0809790557000343
993,1,19,9,shrinkage,0.0809842396276181
2872,5,15,16,shrinkage,0.0809850163420029
1727,3,6,23,shrinkage,0.0809858205914186
2968,5,19,16,shrinkage,0.0809935305594476
1306,2,10,10,shrinkage,0.0810027780005014
1242,2,7,18,shrinkage,0.0810046058720176
4923,10,21,3,shrinkage,0.081005771398217
261,0,11,21,shrinkage,0.0810102275602498
1315,2,10,19,shrinkage,0.0810132063094112
5041,11,13,1,shrinkage,0.0810195172845538
260,0,11,20,shrinkage,0.0810233945667977
2080,3,21,16,shrinkage,0.0810349904222166
1149,2,3,21,shrinkage,0.0810360440319914
265,0,12,1,shrinkage,0.0810388888386051
1150,2,3,22,shrinkage,0.081039591762639
462,0,20,6,shrinkage,0.081039652384549
312,0,14,0,shrinkage,0.0810429317927184
1811,3,10,11,shrinkage,0.081045067861486
568,0,24,16,shrinkage,0.0810463233262166
1148,2,3,20,shrinkage,0.0810508786199114
263,0,11,23,shrinkage,0.0810571031940883
262,0,11,22,shrinkage,0.0810602237213497
1814,3,10,14,shrinkage,0.0810610848122614
2512,4,19,16,shrinkage,0.0810645350362531
1314,2,10,18,shrinkage,0.0810651916836904
1309,2,10,13,shrinkage,0.0810657958099648
1151,2,3,23,shrinkage,0.0810718488257141
1712,3,6,8,shrinkage,0.0810773259508573
1813,3,10,13,shrinkage,0.0810823709367183
1709,3,6,5,shrinkage,0.0810850720020695
1307,2,10,11,shrinkage,0.0810851196213393
258,0,11,18,shrinkage,0.0810934671735621
2824,5,13,16,shrinkage,0.0811044790144909
2733,5,9,21,shrinkage,0.0811075952238562
5136,11,17,0,shrinkage,0.0811077717641376
1815,3,10,15,shrinkage,0.0811082250035522
1266,2,8,18,shrinkage,0.0811158510019227
1737,3,7,9,shrinkage,0.0811167023818536
2178,4,5,18,shrinkage,0.0811188093370316
2735,5,9,23,shrinkage,0.0811311559907144
3712,7,15,16,shrinkage,0.0811313769630374
1711,3,6,7,shrinkage,0.0811548471451864
2732,5,9,20,shrinkage,0.0811835203885591
463,0,20,7,shrinkage,0.0811840126028836
1146,2,3,18,shrinkage,0.081186020263769
465,0,20,9,shrinkage,0.0811930553084088
1736,3,7,8,shrinkage,0.0811952774205276
815,1,11,23,shrinkage,0.0812089500691823
814,1,11,22,shrinkage,0.0812111244130619
998,1,19,14,shrinkage,0.0812111278169115
1072,1,22,16,shrinkage,0.081215714116207
812,1,11,20,shrinkage,0.0812190223405911
1735,3,7,7,shrinkage,0.0812212280380785
544,0,23,16,shrinkage,0.0812232348916641
461,0,20,5,shrinkage,0.0812264521997109
3304,6,15,16,shrinkage,0.081241251845613
1714,3,6,10,shrinkage,0.0812442995567363
259,0,11,19,shrinkage,0.0812472547240698
5138,11,17,2,shrinkage,0.0812496170238604
1310,2,10,14,shrinkage,0.0812515402567132
4969,10,23,1,shrinkage,0.081251838841628
1716,3,6,12,shrinkage,0.0812693735198011
2179,4,5,19,shrinkage,0.0812777620070427
1812,3,10,12,shrinkage,0.0812823067378852
4696,10,11,16,shrinkage,0.0812881240737458
464,0,20,8,shrinkage,0.0812989445146809
1715,3,6,11,shrinkage,0.0813133789913972
5115,11,16,3,shrinkage,0.0813239964902032
1229,2,7,5,shrinkage,0.0813252874955228
2224,4,7,16,shrinkage,0.0813311514077224
6221,15,20,5,shrinkage,0.0813324080682985
1738,3,7,10,shrinkage,0.0813325391288174
