,start_hour,end_hour,rebalance_hour,cov,stdev
3476,6,22,20,shrinkage,0.0694251882603876
3044,5,22,20,shrinkage,0.0694340564240112
2974,5,19,22,shrinkage,0.0694348265791988
2541,4,20,21,shrinkage,0.0694478308910995
3500,6,23,20,shrinkage,0.0694509682972312
3452,6,21,20,shrinkage,0.0694514488554862
2591,4,22,23,shrinkage,0.0694531726340035
3023,5,21,23,shrinkage,0.0694547669321417
3068,5,23,20,shrinkage,0.0694561239285461
3069,5,23,21,shrinkage,0.0694636734843223
3405,6,19,21,shrinkage,0.0694676886325529
3526,6,24,22,shrinkage,0.0694678124957898
2973,5,19,21,shrinkage,0.0694849637201482
2613,4,23,21,shrinkage,0.0694965691447431
2639,4,24,23,shrinkage,0.0694968990229425
2638,4,24,22,shrinkage,0.0695073851678286
2564,4,21,20,shrinkage,0.0695108516505008
2565,4,21,21,shrinkage,0.0695127196678797
3093,5,24,21,shrinkage,0.0695161694788375
3431,6,20,23,shrinkage,0.0695186179354854
3094,5,24,22,shrinkage,0.069525220811236
3477,6,22,21,shrinkage,0.0695383963196994
1050,1,21,18,shrinkage,0.0695501000866704
3095,5,24,23,shrinkage,0.0695589677819381
2975,5,19,23,shrinkage,0.0695657919760365
2516,4,19,20,shrinkage,0.0695662534172489
2540,4,20,20,shrinkage,0.0695687716596686
2589,4,22,21,shrinkage,0.069575418839571
3525,6,24,21,shrinkage,0.0695846215251859
2614,4,23,22,shrinkage,0.0695906325742945
3527,6,24,23,shrinkage,0.0695910249979076
2999,5,20,23,shrinkage,0.0695980919498635
2998,5,20,22,shrinkage,0.0696121394370819
3092,5,24,20,shrinkage,0.0696166328516063
450,0,19,18,shrinkage,0.0696458877357471
2637,4,24,21,shrinkage,0.0696660865120428
2972,5,19,20,shrinkage,0.0696768536581129
631,1,4,7,shrinkage,0.0696867097684379
3020,5,21,20,shrinkage,0.0697074384524965
2612,4,23,20,shrinkage,0.0697257386156781
2996,5,20,20,shrinkage,0.0697498992015526
1003,1,19,19,shrinkage,0.069817592898571
3454,6,21,22,shrinkage,0.0698304410355381
451,0,19,19,shrinkage,0.0698625946816108
638,1,4,14,shrinkage,0.0698654274409117
1002,1,19,18,shrinkage,0.06993887021395
3524,6,24,20,shrinkage,0.0699542951417377
632,1,4,8,shrinkage,0.069965192781982
634,1,4,10,shrinkage,0.0699664113525735
3547,7,8,19,shrinkage,0.0700046895920625
635,1,4,11,shrinkage,0.0700854138744155
12,0,1,12,shrinkage,0.0700860907819058
7,0,1,7,shrinkage,0.0700948478173764
10,0,1,10,shrinkage,0.0701129850283548
11,0,1,11,shrinkage,0.0701224308937621
2636,4,24,20,shrinkage,0.0701245436876614
2035,3,19,19,shrinkage,0.0701354427989958
9,0,1,9,shrinkage,0.0701470808627752
5,0,1,5,shrinkage,0.0701504525585026
639,1,4,15,shrinkage,0.0701532698388849
2034,3,19,18,shrinkage,0.070154938838428
636,1,4,12,shrinkage,0.0701554378916014
15,0,1,15,shrinkage,0.0701555655412813
8,0,1,8,shrinkage,0.0701778702702236
2059,3,20,19,shrinkage,0.070189180507407
1051,1,21,19,shrinkage,0.0702087248098378
13,0,1,13,shrinkage,0.070209974815765
2083,3,21,19,shrinkage,0.0702180379173142
