,USD.EUR.SPOT,USD.JPY.SPOT,USD.CAD.SPOT,USD.AUD.SPOT,USD.GBP.SPOT,USD.NZD.SPOT,USD.MXN.SPOT,USD.NOK.SPOT,USD.SEK.SPOT,USD.TRY.SPOT,time_est
1663,1.077455,0.007802289972106812,0.7950800446834986,0.7371300000000002,1.299715,0.673485,0.05056353054795698,0.11303378566220633,0.10411350053387575,0.06825919929228862,2022-04-19 01:00:00
1664,1.07827,0.007799004067180621,0.7950326360897114,0.7379249999999999,1.30072,0.6735949999999999,0.05046172478175304,0.11278974895397487,0.10421591842652102,0.06824785573768254,2022-04-19 02:00:00
1665,1.0802100000000001,0.007808473755719707,0.7951432649377601,0.73857,1.301495,0.6750600000000001,0.050453323108126516,0.11330141232123098,0.10453830632478962,0.0682368418897784,2022-04-19 03:00:00
1666,1.08108,0.00779362481490141,0.7945557043140402,0.738945,1.304005,0.676415,0.05046236138620107,0.11333750585778403,0.10463870377629687,0.06821398727809137,2022-04-19 04:00:00
1667,1.079835,0.007791438767082729,0.7939311899837641,0.737345,1.30289,0.67462,0.05030674537995427,0.1130587052800201,0.10447673827964378,0.06820921813478482,2022-04-19 05:00:00
1668,1.0793849999999998,0.007791560182010846,0.7936193008213961,0.73662,1.3029899999999999,0.67394,0.050292071203514414,0.11315761195751024,0.10439077936333696,0.06819579832047387,2022-04-19 06:00:00
1669,1.0795849999999996,0.007800342435032898,0.7927133786236911,0.7364099999999999,1.30165,0.67387,0.050337766412628736,0.11343455304841206,0.10445103426923895,0.06818956699624958,2022-04-19 07:00:00
1670,1.0794000000000001,0.007784403169808971,0.7914992975443734,0.735975,1.3001299999999998,0.6726399999999999,0.05022248561125787,0.11335258598057234,0.10438869654358719,0.06819886789879288,2022-04-19 08:00:00
1671,1.0805950000000002,0.007771275810349787,0.7929899686768962,0.73811,1.30022,0.6739050000000001,0.050104969911965565,0.11366249257130236,0.10460573252908711,0.06817910651280916,2022-04-19 09:00:00
1672,1.07856,0.0077619864475716605,0.7920948929681776,0.73712,1.29898,0.6732750000000001,0.04987357049878558,0.1134382986779415,0.10453745838361223,0.06817689859879429,2022-04-19 10:00:00
1673,1.078945,0.007779165062213873,0.7925500297206262,0.7371549999999999,1.300985,0.67269,0.04986983971833515,0.11339411455596428,0.10451855080887339,0.0682081713389264,2022-04-19 11:00:00
1674,1.07965,0.00776665851167523,0.7922737464248648,0.737745,1.30071,0.6730149999999999,0.04985802926167737,0.11332171759050308,0.10464462601649657,0.06824606254342155,2022-04-19 12:00:00
1675,1.078905,0.007763703907860363,0.7925060626713795,0.7376,1.2999800000000001,0.672955,0.049868596248884185,0.11327419598686364,0.10465661072848968,0.06823493287388478,2022-04-19 13:00:00
1676,1.0790250000000001,0.007766628351300133,0.7920070647030171,0.73733,1.299895,0.67294,0.049819528757077486,0.1132216532706554,0.10473022158809658,0.06823376889222477,2022-04-19 14:00:00
1677,1.0788750000000003,0.007760119195430842,0.7925940016485956,0.738095,1.3003,0.6731400000000001,0.049889494769086475,0.11319878709027575,0.10489077068162594,0.06823144104803493,2022-04-19 15:00:00
1678,1.07875,0.007758373224302328,0.7925500297206262,0.73712,1.299825,0.6738500000000002,0.04994131895023348,0.11317082894025943,0.10485262313804582,0.06822562213239182,2022-04-19 16:00:00
1679,1.0790199999999999,0.007733682895800223,0.7931818091683885,0.73881,1.3008899999999999,0.6738450000000001,0.04992772961138752,0.11320212341845191,0.10485491613705712,0.06823162726972508,2022-04-19 18:00:00
1680,1.07943,0.007732008582529526,0.7933611538644623,0.7393449999999998,1.301385,0.674555,0.04994194249185322,0.11326111922253448,0.10490393305927286,0.06823106860770412,2022-04-19 19:00:00
1681,1.0796599999999998,0.007734251131134227,0.7932730445819451,0.7397149999999999,1.30191,0.674975,0.04995653781210348,0.11328055734798051,0.10492475594882333,0.0682293926765299,2022-04-19 20:00:00
1682,1.0797050000000001,0.007751637533428937,0.7932164132340226,0.740545,1.30289,0.6761900000000001,0.0499200031948802,0.11321341316360665,0.104888355668676,0.06822785647861022,2022-04-19 21:00:00
1683,1.0807250000000002,0.007765542733781664,0.7938208981289642,0.74104,1.3029700000000002,0.67599,0.04996602310428908,0.11342324141369088,0.1050593965081464,0.06821073022997247,2022-04-19 22:00:00
1684,1.081885,0.007791013844631601,0.794467329517242,0.74127,1.304125,0.67538,0.05003202049311559,0.11350031472933278,0.10516807294501905,0.0682122191276612,2022-04-19 23:00:00
1685,1.0820349999999999,0.007778650715246933,0.7946883033802068,0.74245,1.303655,0.676975,0.050079375810659896,0.11362154329187295,0.1053634287773077,0.06821682581652129,2022-04-20 00:00:00
1686,1.0816449999999997,0.007769826655167323,0.7945778010853933,0.742515,1.30298,0.67676,0.05005706505416174,0.11365339049390302,0.10529520564614259,0.06823027718550106,2022-04-20 01:00:00
1687,1.081325,0.007772121400536275,0.794912559618442,0.7417199999999999,1.30237,0.676245,0.050017018290473336,0.11358276917905706,0.10521847435279927,0.06821584858810248,2022-04-20 02:00:00
1688,1.08093,0.007771698582442178,0.7949757532395263,0.7415849999999999,1.300095,0.6769099999999999,0.04990175591803637,0.11375695898801318,0.10538204684491456,0.06818284867259926,2022-04-20 03:00:00
1689,1.08398,0.007787949705420802,0.7959058602548491,0.7433000000000001,1.3029600000000001,0.678565,0.04997438812608538,0.11395142257940741,0.10571546995001828,0.06817666619511138,2022-04-20 04:00:00
1690,1.0854300000000003,0.007808656676791892,0.7971652802633834,0.7435499999999999,1.303165,0.678465,0.05009505536755994,0.11387556495574777,0.10588373011808434,0.0681982400080201,2022-04-20 05:00:00
1691,1.08588,0.00782637959506312,0.7972383662991398,0.744035,1.305765,0.679605,0.050106350729423196,0.11397144101641012,0.10604711121528185,0.06819254300903688,2022-04-20 06:00:00
1692,1.0826699999999998,0.007819708794044509,0.7975721902528704,0.7431049999999999,1.30523,0.6791400000000002,0.050090036841222096,0.11360352561580228,0.10587786595473148,0.0681663258350375,2022-04-20 07:00:00
1693,1.08292,0.007806127029105145,0.7984000063872001,0.7420249999999999,1.305535,0.6782549999999999,0.0499145213821331,0.1133154435873946,0.10576061957057825,0.06815296933968291,2022-04-20 08:00:00
1694,1.0841850000000002,0.007818394336355143,0.7989645419536281,0.7426700000000002,1.30524,0.67873,0.04991327568349991,0.11347078678144379,0.1057071125627651,0.06814310051107325,2022-04-20 09:00:00
1695,1.0864649999999998,0.007831926849803222,0.8006725649545618,0.7455700000000001,1.304725,0.68087,0.05001075231174703,0.11366955775729486,0.10596608780887452,0.06814089492844354,2022-04-20 10:00:00
1696,1.085475,0.007826685868135997,0.8002945083790834,0.74515,1.305385,0.68092,0.04999250112483127,0.11355023968491827,0.10592945355537879,0.06815587248036259,2022-04-20 11:00:00
1697,1.084295,0.007819372495357248,0.8000320012800513,0.744595,1.30512,0.68004,0.04992112462309551,0.11350326625656798,0.10583433624103361,0.06814716380022659,2022-04-20 12:00:00
1698,1.0851700000000002,0.007828646583578631,0.8005443701717168,0.7451550000000001,1.30578,0.68054,0.049915393408173137,0.11361067794010568,0.1058981390219863,0.06814669939979795,2022-04-20 13:00:00
1699,1.08413,0.007825889608001188,0.7996449576388083,0.743995,1.30566,0.6796849999999999,0.04994942620596646,0.11340687159048711,0.10577961644851423,0.06814786041273752,2022-04-20 14:00:00
1700,1.08536,0.00782947405508035,0.8002304663743157,0.7449649999999998,1.3063500000000001,0.6806099999999999,0.05000112502531307,0.11351653810955681,0.10598452846181039,0.06814786041273752,2022-04-20 15:00:00
