time_utc,USD.EUR.SPOT,USD.JPY.SPOT,USD.CAD.SPOT,USD.AUD.SPOT,USD.GBP.SPOT,USD.NZD.SPOT,USD.MXN.SPOT,USD.NOK.SPOT,USD.SEK.SPOT,USD.TRY.SPOT
2022-01-02,0.8792870740403682,115.1445,1.265975,1.3759605924886311,0.7395547141066363,1.4621165599321577,20.489449999999998,11.377910918249999,11.701184179499997,13.45975
2022-01-03,0.884803064957817,115.3325,1.27519,1.3897188598746473,0.7416994559634491,1.473068622901798,20.499499999999998,11.3314480895,11.634001290999999,13.055250000000001
2022-01-04,0.8862891075068688,116.1755,1.27054,1.3814444383046913,0.7390791812480829,1.467868361565335,20.53623,11.286102824999997,11.583466289999999,13.415
2022-01-05,0.884122486329256,116.124,1.27604,1.3848593329132592,0.7377514810360982,1.4722228356484037,20.580199999999998,11.3243358865,11.6591311265,13.69508
2022-01-06,0.8853553373646512,115.8665,1.273075,1.3961897980411457,0.7389371866444492,1.4837785905587166,20.5091,11.3460094225,11.670511899500003,13.77525
2022-01-07,0.8802235767885043,115.56,1.2642,1.3926606782257502,0.7359976448075366,1.4750350320820118,20.4195,11.40363683125,11.68589771875,13.874500000000001
2022-01-09,0.880789539743426,115.6215,1.2647650000000001,1.3930195788901814,0.7357539638744803,1.4759602966680199,20.39405,11.394549489000001,11.675774445499998,13.877500000000001
2022-01-10,0.8826008481794152,115.28,1.266605,1.392757660167131,0.7363905815644617,1.4780327384251564,20.37135,11.374960743249996,11.683594029249997,13.82925
2022-01-11,0.8798169980644026,115.335,1.25778,1.3870106453067028,0.7335357892111557,1.4742630527565035,20.393900000000002,11.33445935,11.674643730000001,13.81475
2022-01-12,0.87415643903633,114.6745,1.2503,1.3732396783872673,0.729591501718188,1.4607603257495527,20.3642,11.34264939,11.707229442,13.24975
2022-01-13,0.8728555031357332,114.118,1.2508499999999998,1.3733905579399142,0.7292164204953566,1.4574709963271733,20.3369,11.4292686065,11.723819078000002,13.5996
2022-01-14,0.8764625969586747,114.245,1.2554500000000002,1.3876361617983763,0.7315957933241883,1.470047776552738,20.3145,11.412352375000003,11.752241380000001,13.530750000000001
2022-01-17,0.8764126676686985,114.575,1.25163,1.3867125206273487,0.732726879719219,1.4714213194234969,20.29385,11.347964682499999,11.741386654499998,13.449
2022-01-18,0.8827060235859049,114.55799999999999,1.2498049999999998,1.391352742704094,0.7353130411444412,1.4769521615194883,20.4026,11.307331924000001,11.725308000000002,13.535375
2022-01-19,0.8816048735117409,114.349,1.251085,1.3857901082302073,0.7348213465601175,1.474991518798767,20.5159,11.300243793249999,11.725547703499997,13.405000000000001
2022-01-20,0.8839427381894199,113.9945,1.250065,1.3857420995378549,0.7354671687455872,1.4814814814814814,20.5347,11.313798471250003,11.808061256750003,13.353
2022-01-21,0.8815426997245179,113.68,1.258,1.39217597104274,0.7378440197742198,1.4885936511480777,20.472,11.4581935,11.832779562499999,13.47425
2022-01-23,0.8817409092512256,113.789,1.2561900000000001,1.3913140265323585,0.7377405956517569,1.4877410140442753,20.455199999999998,11.442533622,11.827283831999999,13.4525
2022-01-24,0.8830957805683605,114.0155,1.2626,1.3978389409972183,0.7413832729105966,1.4917135313334429,20.577199999999998,11.499601994999999,11.877930153,13.4725
2022-01-25,0.8847091297558646,113.89500000000001,1.2617349999999998,1.3969211857067025,0.7402006684012035,1.4947459679227513,20.6112,11.410416893499999,11.829085569499998,13.483
2022-01-26,0.8896243116531888,114.72399999999999,1.2656649999999998,1.4042281309021465,0.7425310656434588,1.5014113266470483,20.71635,11.294093325,11.761369224000001,13.5815
2022-01-27,0.8973036026739646,115.3535,1.274735,1.4215146238316925,0.7469654528478057,1.5189373514289402,20.77085,11.113072510000002,11.664446647500002,13.61025
