Configurations,ROI,STD,SR,ERR
LB:20 HP:1,-0.0026855918890620334,0.023935602822881184,-0.11220072078129355,0
LB:20 HP:2,0.005448757920397229,0.026601508724985495,0.2048289056356972,0
LB:20 HP:3,-0.003685160144440869,0.026374683766790398,-0.13972338690487077,0
LB:20 HP:4,-0.01315494038733045,0.026318072032314687,-0.4998443796026599,0
LB:20 HP:5,0.007727253999868067,0.0259543273247177,0.29772507309441953,0
LB:20 HP:6,-0.008768262166454766,0.025966091657252936,-0.3376812453022974,0
LB:20 HP:7,-0.0034508752534828657,0.026637525277985262,-0.12954939385209563,0
LB:20 HP:8,0.021643830644719975,0.026027394080067316,0.8315788579577996,0
LB:20 HP:9,0.009120421363370657,0.026610015571886678,0.34274393183769225,0
LB:20 HP:10,0.020552107736217184,0.02575806325350582,0.7978902580503573,0
LB:20 HP:11,0.03177383897380626,0.026163016125766502,1.2144562699143073,0
LB:20 HP:12,0.019033142255385993,0.027066872153775526,0.7031895723766177,0
LB:20 HP:13,0.0217287365412544,0.026150514870430897,0.8309104676873371,0
LB:20 HP:14,0.008930372327559555,0.026100999132794792,0.34214676159039914,0
LB:20 HP:15,0.02610724761616723,0.026854110986231163,0.9721881178473243,0
LB:20 HP:16,-0.015821203541285134,0.026034683917502754,-0.6076971624244979,0
LB:20 HP:17,0.018055790208387545,0.025603374543273858,0.7052113453978627,0
LB:20 HP:18,0.00936161105729627,0.025337143555772837,0.36948170722912105,0
LB:20 HP:19,-0.009019375201862467,0.026528975003991158,-0.33998204606493637,0
LB:20 HP:20,0.021057884543196126,0.02654537952082023,0.7932787145378682,0
LB:30 HP:1,0.05374794358867119,0.028411417130790213,1.891772710289171,0
LB:30 HP:2,0.03111568189648284,0.025766157028369572,1.2076182669469577,0
LB:30 HP:3,0.023523974879767096,0.026223884039865704,0.8970438873206505,0
LB:30 HP:4,0.017288810762752904,0.026496565102766424,0.652492528586199,0
LB:30 HP:5,0.019762443981026223,0.026315884089336793,0.7509701712447493,0
LB:30 HP:6,0.02944968800951564,0.025965445238005567,1.1341876767208365,0
LB:30 HP:7,-0.007863850837750097,0.02630411697583597,-0.2989589365411563,0
LB:30 HP:8,0.030152955251401936,0.025450385191407205,1.1847740230502466,0
LB:30 HP:9,0.05271997457670752,0.025754988179309157,2.0469811210808975,0
LB:30 HP:10,0.029054442001846148,0.025262731440918243,1.1500910766436936,0
LB:30 HP:11,0.0099517826063793,0.026110964816605447,0.38113423522559364,0
LB:30 HP:12,0.008607756586480386,0.026776394226036587,0.32146810036545004,0
LB:30 HP:13,-0.001316561773541558,0.026082825481446387,-0.050476194554845054,0
LB:30 HP:14,0.01700024526242161,0.026266538083590057,0.6472206275650183,0
LB:30 HP:15,0.007368068348444501,0.026966491481890134,0.2732305147442955,0
LB:30 HP:16,-0.023957371121493876,0.026246016418001263,-0.9128002794764053,0
LB:30 HP:17,0.018171480430085207,0.02497813706625904,0.7274954245739808,0
LB:30 HP:18,0.012778429814971792,0.025842735253040757,0.4944689364284004,0
LB:30 HP:19,-0.01057478165099146,0.026564031263371028,-0.39808647814584375,0
LB:30 HP:20,0.01621144810467401,0.02672763113699205,0.6065426457579607,0
LB:40 HP:1,-0.0033248696749905715,0.025571026259360558,-0.13002488211725433,0
LB:40 HP:2,-0.008823481390425103,0.02523463856149163,-0.349657530022635,0
LB:40 HP:3,0.015554928104634769,0.02646599570509415,0.5877325862952805,0
LB:40 HP:4,0.008112073965486744,0.026577928354954414,0.3052184450626892,0
LB:40 HP:5,0.00021218914066811756,0.025745130853923794,0.008241913465970129,0
LB:40 HP:6,0.01238729101456526,0.026055868980959525,0.4754126996730504,0
LB:40 HP:7,-0.003741615498919826,0.026838552850190028,-0.13941196903592862,0
LB:40 HP:8,0.020299229135757102,0.02566889479210974,0.7908104069208621,0
LB:40 HP:9,0.04270888898394931,0.025807984592954972,1.6548711438555308,0
LB:40 HP:10,0.02003420358608876,0.025961934008189094,0.7716760846772599,0
LB:40 HP:11,0.005605578361080887,0.02675162383085187,0.20954161125038462,0
LB:40 HP:12,0.007276688027701317,0.02718856924652273,0.26763776945092344,0
LB:40 HP:13,0.004214947621788978,0.026345329564895992,0.1599884188734998,0
LB:40 HP:14,0.01657299968266379,0.026687351365160948,0.6210057886935548,0
LB:40 HP:15,-0.006690895322530976,0.026525430783591396,-0.2522445489054963,0
LB:40 HP:16,-0.02261945382470687,0.02621516642005243,-0.8628384600833533,0
LB:40 HP:17,0.03895833649516445,0.024920221803435377,1.5633222209039026,0
LB:40 HP:18,0.013785423202967717,0.025700841643503825,0.5363802242037523,0
LB:40 HP:19,-0.014859373623798522,0.02651178014707607,-0.5604819269534164,0
LB:40 HP:20,0.007347994504921296,0.026867258100336106,0.2734925342020432,0
LB:50 HP:1,0.012541362522874744,0.026485401521163163,0.4735198185632023,0
LB:50 HP:2,0.0003947877121699417,0.026722953780456235,0.014773356097284002,0
LB:50 HP:3,0.007987090404193875,0.02687084906438114,0.2972399712810424,0
LB:50 HP:4,0.017203739990880873,0.026973862744233846,0.637792968474954,0
LB:50 HP:5,0.001783967819209753,0.026297592362598748,0.06783768622662839,0
LB:50 HP:6,0.02587525141256286,0.026649135092756977,0.9709602702864285,0
LB:50 HP:7,0.01908184459067641,0.026851314090356508,0.7106484444844934,0
LB:50 HP:8,0.003030104809559786,0.025905059453428626,0.11696961417931588,0
LB:50 HP:9,0.038105092822393605,0.025920406338015064,1.4700808438526825,0
